MangaID,Title,Type,Volumes,Members,Score,Author,CoverMedium,CoverLarge
1009,Honey and Clover,Manga,10,27333,8.31,Umino,https://cdn.myanimelist.net/images/manga/3/184591.jpg,https://cdn.myanimelist.net/images/manga/3/184591l.jpg
1111,Buddha,Manga,14,18080,8.31,Tezuka,https://cdn.myanimelist.net/images/manga/3/260394.jpg,https://cdn.myanimelist.net/images/manga/3/260394l.jpg
4625,The Summit of the Gods,Manga,5,19775,8.31,Yumemakura,https://cdn.myanimelist.net/images/manga/2/166336.jpg,https://cdn.myanimelist.net/images/manga/2/166336l.jpg
49835,Is the Order a Rabbit?,Manga,NULL,8283,8.31,Koi,https://cdn.myanimelist.net/images/manga/2/205168.jpg,https://cdn.myanimelist.net/images/manga/2/205168l.jpg
9,Tsubasa: RESERVoir CHRoNiCLE,Manga,28,85549,8.3,CLAMP,https://cdn.myanimelist.net/images/manga/1/272410.jpg,https://cdn.myanimelist.net/images/manga/1/272410l.jpg
29,Paradise Kiss,Manga,5,61456,8.3,Yazawa,https://cdn.myanimelist.net/images/manga/1/262323.jpg,https://cdn.myanimelist.net/images/manga/1/262323l.jpg
79,Red River,Manga,28,27464,8.3,Shinohara,https://cdn.myanimelist.net/images/manga/2/341501.jpg,https://cdn.myanimelist.net/images/manga/2/341501l.jpg
149,Blame!,Manga,10,183130,8.3,Nihei,https://cdn.myanimelist.net/images/manga/1/174389.jpg,https://cdn.myanimelist.net/images/manga/1/174389l.jpg
3378,Kimi ni Todoke: From Me to You,Manga,30,132449,8.3,Shiina,https://cdn.myanimelist.net/images/manga/1/168283.jpg,https://cdn.myanimelist.net/images/manga/1/168283l.jpg
4258,With the Light: Raising an Autistic Child,Manga,15,7036,8.3,Tobe,https://cdn.myanimelist.net/images/manga/3/179208.jpg,https://cdn.myanimelist.net/images/manga/3/179208l.jpg
7458,Death Note Another Note: The Los Angeles BB Murder Cases,Novel,1,38713,8.3,Obata,https://cdn.myanimelist.net/images/manga/1/253578.jpg,https://cdn.myanimelist.net/images/manga/1/253578l.jpg
9699,Classmates,Manga,1,44410,8.3,Nakamura,https://cdn.myanimelist.net/images/manga/3/256467.jpg,https://cdn.myanimelist.net/images/manga/3/256467l.jpg
10552,Lucifer and the Biscuit Hammer,Manga,10,62562,8.3,Mizukami,https://cdn.myanimelist.net/images/manga/3/56421.jpg,https://cdn.myanimelist.net/images/manga/3/56421l.jpg
14236,Love So Life,Manga,17,62349,8.3,Kouchi,https://cdn.myanimelist.net/images/manga/2/269699.jpg,https://cdn.myanimelist.net/images/manga/2/269699l.jpg
84983,Chichi to Hige-Gorilla to Watashi,Manga,7,9702,8.3,Koike,https://cdn.myanimelist.net/images/manga/2/147377.jpg,https://cdn.myanimelist.net/images/manga/2/147377l.jpg
112774,A Man & His Cat,Manga,NULL,24628,8.3,Sakurai,https://cdn.myanimelist.net/images/manga/2/208216.jpg,https://cdn.myanimelist.net/images/manga/2/208216l.jpg
115122,I Want to Love You Till Your Dying Day,Manga,NULL,19545,8.3,Aono,https://cdn.myanimelist.net/images/manga/1/215753.jpg,https://cdn.myanimelist.net/images/manga/1/215753l.jpg
166817,Star Ginseng Store,Manhwa,NULL,2473,8.3,Hyeono,https://cdn.myanimelist.net/images/manga/3/301075.jpg,https://cdn.myanimelist.net/images/manga/3/301075l.jpg
168586,Lord of Mysteries 2: Circle of Inevitability,Novel,NULL,2417,8.3,Ai Qianshui de Wuzei,https://cdn.myanimelist.net/images/manga/1/312507.webp,https://cdn.myanimelist.net/images/manga/1/312507l.webp
118568,Bocchi the Rock!,Manga,NULL,32233,8.29,Hamaji,https://cdn.myanimelist.net/images/manga/2/224954.jpg,https://cdn.myanimelist.net/images/manga/2/224954l.jpg
119184,Solo Leveling,Novel,13,15210,8.29,Chugong,https://cdn.myanimelist.net/images/manga/3/265759.jpg,https://cdn.myanimelist.net/images/manga/3/265759l.jpg
