Title,Type,Volumes,Members,Score
Berserk,Manga,NULL,637448,9.47
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Manga,24,246104,9.3
Vagabond,Manga,37,345175,9.23
One Piece,Manga,NULL,573384,9.22
Monster,Manga,18,226020,9.15
Slam Dunk,Manga,31,156001,9.08
Vinland Saga,Manga,NULL,279101,9.05
Fullmetal Alchemist,Manga,27,282763,9.03
Grand Blue,Manga,NULL,166433,9.03
Oyasumi Punpun,Manga,13,409969,9.02
Kingdom,Manga,NULL,159673,9.0
Houseki no Kuni,Manga,NULL,116538,8.96
20th Century Boys,Manga,22,233913,8.95
Ashita no Joe,Manga,20,48270,8.94
Monogatari Series: First Season,Light-Novel,6,56296,8.93
Real,Manga,NULL,79114,8.92
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Manga,28,254790,8.92
Mikkakan no Koufuku,Novel,1,23907,8.92
Monogatari Series: Second Season,Light-Novel,6,21719,8.91
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Light-Novel,14,79255,8.89
GTO,Manga,25,159533,8.89
3-gatsu no Lion,Manga,NULL,63269,8.88
Yotsuba to!,Manga,NULL,145973,8.88
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Light-Novel,NULL,32223,8.88
Monogatari Series: Final Season,Light-Novel,6,17604,8.86
Koe no Katachi,Manga,7,259812,8.86
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,Manga,9,15152,8.84
Haikyuu!!,Manga,45,206090,8.84
Akatsuki no Yona,Manga,NULL,127764,8.83
Ookami to Koushinryou,Light-Novel,NULL,61449,8.83
Kaze no Tani no Nausicaä,Manga,7,54824,8.82
86,Light-Novel,NULL,36153,8.81
Mushoku Tensei: Isekai Ittara Honki Dasu,Light-Novel,26,74051,8.79
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",Manga,3,151604,8.79
Re:Zero kara Hajimeru Isekai Seikatsu,Light-Novel,NULL,65152,8.79
Uchuu Kyoudai,Manga,NULL,32991,8.78
Nana,Manga,21,128202,8.78
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Light-Novel,18,68418,8.77
Made in Abyss,Manga,NULL,150446,8.77
Chainsaw Man,Manga,NULL,562333,8.75
One Punch-Man,Manga,NULL,454132,8.75
Hunter x Hunter,Manga,NULL,256070,8.73
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Light-Novel,NULL,12694,8.72
Mushishi,Manga,10,78507,8.72
Utsuro no Hako to Zero no Maria,Light-Novel,7,100166,8.71
Hajime no Ippo,Manga,NULL,79800,8.71
Kokou no Hito,Manga,17,87313,8.71
Sayonara Eri,Manga,1,90091,8.7
Death Note,Manga,12,379910,8.7
Shoujo Shuumatsu Ryokou,Manga,6,60835,8.7
Kono Oto Tomare!,Manga,NULL,39250,8.69
Beck,Manga,34,74038,8.69
Dorohedoro,Manga,23,160787,8.68
"""Oshi no Ko""",Manga,NULL,143435,8.68
Akira,Manga,6,124509,8.68
Solo Leveling,Manhwa,NULL,430907,8.68
Yokohama Kaidashi Kikou,Manga,14,69851,8.68
The Horizon,Manhwa,3,75610,8.68
Yagate Kimi ni Naru,Manga,8,97046,8.67
Natsume Yuujinchou,Manga,NULL,42145,8.66
Kozure Ookami,Manga,28,43970,8.66
ReLIFE,Manga,15,155374,8.65
Overlord,Light-Novel,NULL,59875,8.65
Zaregoto Series,Light-Novel,NULL,22492,8.65
Blue Period,Manga,NULL,114323,8.65
Shinyaku Toaru Majutsu no Index,Light-Novel,23,14527,8.65
Kimi no Suizou wo Tabetai,Novel,1,5978,8.64
Violet Evergarden,Light-Novel,2,25945,8.64
Kino no Tabi: The Beautiful World,Light-Novel,NULL,17746,8.64
JoJo no Kimyou na Bouken Part 9: The JoJoLands,Manga,NULL,26266,8.63
Golden Kamuy,Manga,31,84796,8.63
Koten-bu Series,Novel,NULL,17228,8.63
Aria,Manga,12,35800,8.63
Banana Fish,Manga,19,52440,8.63
Kono Subarashii Sekai ni Shukufuku wo!,Light-Novel,17,50576,8.62
Gintama,Manga,77,91669,8.62
Pluto,Manga,8,109792,8.62
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",Manga,4,23706,8.62
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,Light-Novel,5,2129,8.62
Mob Psycho 100,Manga,16,110211,8.61
Seishun Buta Yarou Series,Light-Novel,NULL,23914,8.61
Bungou Stray Dogs: Beast,Manga,4,11708,8.61
Sousou no Frieren,Manga,NULL,84463,8.61
Ginga Eiyuu Densetsu,Novel,10,9356,8.6
Hi no Tori (1967),Manga,16,20413,8.6
Kaoru Hana wa Rin to Saku,Manga,NULL,30928,8.6
Monogatari Series: Monster Season,Light-Novel,6,6519,8.6
Ao Ashi,Manga,NULL,24833,8.6
Shigatsu wa Kimi no Uso,Manga,11,77063,8.59
Tongari Boushi no Atelier,Manga,NULL,69981,8.59
Tian Guan Ci Fu,Manhua,NULL,8323,8.59
Spy x Family,Manga,NULL,284276,8.59
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,Manga,9,11853,8.58
Neon Genesis Evangelion,Manga,14,106527,8.58
Jibaku Shounen Hanako-kun,Manga,NULL,104945,8.58
Wind Breaker,Manhwa,NULL,42361,8.58
Pandora Hearts,Manga,24,166912,8.57
Skip Beat!,Manga,NULL,89305,8.57
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Manga,18,97909,8.57
Suzumiya Haruhi Series,Light-Novel,NULL,36450,8.57
Chihayafuru,Manga,50,42682,8.56
One Outs,Manga,20,32087,8.56
Shingeki no Kyojin,Manga,34,632689,8.56
Diamond no Ace Act II,Manga,34,15468,8.56
Otoyomegatari,Manga,NULL,67663,8.56
Monogatari Series: Off Season,Light-Novel,4,5698,8.56
Rurouni Kenshin: Meiji Kenkaku Romantan,Manga,28,93904,8.56
Blue Lock,Manga,NULL,148619,8.56
Given,Manga,9,57119,8.55
Shuumatsu Nani Shitemasu kaNULL Isogashii desu kaNULL Sukutte Moratte Ii desu kaNULL,Light-Novel,5,24421,8.55
Tobaku Datenroku Kaiji: One Poker-hen,Manga,16,7780,8.55
Tian Guan Ci Fu,Novel,6,5227,8.55
Kimi wa Houkago Insomnia,Manga,NULL,36829,8.55
Kakukaku Shikajika,Manga,5,25505,8.54
Kidou Senshi Gundam: The Origin,Manga,24,14166,8.54
Sasaki to Miyano,Manga,NULL,31685,8.54
Kara no Kyoukai: The Garden of Sinners,Light-Novel,2,15516,8.54
Kamisama Hajimemashita,Manga,25,85615,8.54
Souyaku Toaru Majutsu no Index,Light-Novel,NULL,2682,8.53
Skip to Loafer,Manga,NULL,26248,8.53
Baccano!,Light-Novel,22,18799,8.53
Watashitachi no Shiawase na Jikan,Manga,1,112491,8.53
Jujutsu Kaisen,Manga,NULL,348330,8.52
Fruits Basket,Manga,23,138780,8.52
Fate/Zero,Light-Novel,4,26463,8.52
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Light-Novel,NULL,16319,8.52
Sakamichi no Apollon,Manga,9,28714,8.52
Tokyo Ghoul,Manga,14,477217,8.52
Berserk: Shinen no Kami 2,One-shot,NULL,16783,8.51
Bungou Stray Dogs,Manga,NULL,83308,8.51
Steins;Gate,Light-Novel,5,12088,8.51
"Ohayou, Ibarahime",Manga,6,32933,8.51
Bakemonogatari,Manga,22,34042,8.51
Chikan Otoko,Manga,NULL,45839,8.5
Ouran Koukou Host Club,Manga,18,123748,8.5
Kimi no Suizou wo Tabetai,Manga,2,40557,8.5
Spirit Circle,Manga,6,42059,8.5
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,Manga,6,13440,8.5
Ping Pong,Manga,5,18857,8.5
19 Tian,Manhua,NULL,6148,8.5
Shimanami Tasogare,Manga,4,57111,8.5
Vanitas no Karte,Manga,NULL,59524,8.5
Bastard,Manhwa,5,125977,8.5
blanc,Manga,2,7243,8.49
Tensei shitara Slime Datta Ken,Light-Novel,NULL,36272,8.49
Mo Dao Zu Shi,Novel,4,4161,8.49
Umineko no Naku Koro ni,Light-Novel,8,5906,8.49
JoJo no Kimyou na Bouken Part 8: JoJolion,Manga,27,138960,8.48
Kyou kara Ore wa!!,Manga,38,19987,8.48
Hinamatsuri,Manga,19,51411,8.48
Hirayasumi,Manga,NULL,7833,8.48
Glass no Kamen,Manga,49,10892,8.48
Cross Game,Manga,17,20238,8.48
The Fable,Manga,22,35972,8.48
Kami nomi zo Shiru Sekai,Manga,26,107462,8.47
Rainbow: Nisha Rokubou no Shichinin,Manga,22,32043,8.47
Eyeshield 21,Manga,37,73795,8.47
Billy Bat,Manga,20,57459,8.47
Yuukoku no Moriarty,Manga,NULL,31969,8.46
Holyland,Manga,18,80036,8.46
Fullmetal Alchemist,Light-Novel,7,16335,8.46
No Game No Life,Light-Novel,NULL,58120,8.46
Kusuriya no Hitorigoto,Manga,NULL,42063,8.45
Ookami to Koushinryou,Manga,16,39188,8.45
Adachi to Shimamura,Light-Novel,NULL,9131,8.45
Doraemon,Manga,45,13748,8.45
Tomodachi Game,Manga,NULL,62586,8.45
Here U Are,Manhua,NULL,25721,8.45
Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,Light-Novel,3,5996,8.45
Veil,Manga,NULL,3778,8.44
Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,Manga,6,11699,8.44
Barakamon,Manga,18,39363,8.44
Gekkan Shoujo Nozaki-kun,Manga,NULL,77611,8.44
Who Made Me a Princess,Manhwa,9,44361,8.44
Blue Giant,Manga,10,16307,8.44
Mo Dao Zu Shi,Manhua,NULL,10432,8.44
Horimiya,Manga,16,323487,8.43
Mugen no Juunin,Manga,30,76888,8.43
Omniscient Reader,Novel,NULL,4368,8.43
Yubisaki to Renren,Manga,NULL,31575,8.43
21st Century Boys,Manga,2,82612,8.43
Umineko no Naku Koro ni Chiru,Light-Novel,7,3420,8.42
Bungou Stray Dogs,Light-Novel,NULL,9700,8.42
Juuni Kokuki,Light-Novel,NULL,8877,8.42
The Boxer,Manhwa,NULL,29309,8.42
Innocent Rouge,Manga,12,25378,8.42
Kage no Jitsuryokusha ni Naritakute!,Light-Novel,NULL,18866,8.42
Kuroshitsuji,Manga,NULL,153545,8.41
Dragon Ball,Manga,42,150636,8.41
Nan Hao Shang Feng,Manhua,NULL,10530,8.41
Gunnm,Manga,9,78284,8.41
Toaru Majutsu no Index,Light-Novel,22,28998,8.41
Onanie Master Kurosawa,Manga,4,129391,8.41
"Mata, Onaji Yume wo Miteita",Manga,3,18419,8.41
Youjo Senki,Light-Novel,NULL,21801,8.41
Nodame Cantabile,Manga,25,26288,8.41
Hirano to Kagiura,Manga,NULL,7688,8.41
Tobaku Mokushiroku Kaiji,Manga,13,18210,8.41
No.6,Novel,9,20539,8.4
Medalist,Manga,NULL,7755,8.4
My Girl,Manga,5,30768,8.4
Noragami,Manga,NULL,174488,8.4
Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,Light-Novel,1,12530,8.4
Eleceed,Manhwa,NULL,15541,8.4
Tobaku Hakairoku Kaiji,Manga,13,10046,8.4
Basara,Manga,27,22225,8.4
The Breaker,Manhwa,10,138497,8.4
Imawa no Kuni no Alice,Manga,18,73315,8.4
Bakuman.,Manga,20,168807,8.39
Omniscient Reader,Manhwa,NULL,86865,8.39
Tensei shitara Slime Datta Ken,Manga,NULL,121851,8.39
Tower of God,Manhwa,NULL,175744,8.39
Kimi no Na wa.,Manga,3,83999,8.39
The Legend of the Northern Blade,Manhwa,NULL,25667,8.39
Koe no Katachi,One-shot,NULL,59842,8.39
"Kumo desu ga, Nani kaNULL",Light-Novel,16,24426,8.39
Kaichou wa Maid-sama!,Manga,18,158247,8.39
Yuru Camp△,Manga,NULL,16872,8.39
Look Back,Manga,1,78446,8.38
Kiseijuu,Manga,10,98424,8.38
Toshokan no Daimajutsushi,Manga,NULL,12150,8.38
Shadows House,Manga,NULL,36169,8.38
Cardcaptor Sakura,Manga,12,61106,8.38
Shiori Experience: Jimi na Watashi to Hen na Ojisan,Manga,NULL,16537,8.38
Dungeon Meshi,Manga,NULL,54005,8.38
Boku dake ga Inai Machi,Manga,9,84703,8.37
xxxHOLiC,Manga,19,80000,8.37
SKET Dance,Manga,32,31354,8.37
The Breaker: New Waves,Manhwa,20,90567,8.37
Nichijou,Manga,NULL,34747,8.37
Wotaku ni Koi wa Muzukashii,Manga,11,125951,8.37
Harukaze no Étranger,Manga,NULL,19347,8.37
Re:Zero kara Hajimeru Isekai Seikatsu Ex,Light-Novel,NULL,5535,8.37
Katanagatari,Light-Novel,12,6949,8.37
Usogui,Manga,49,27809,8.36
Shimeji Simulation,Manga,NULL,14070,8.36
Homunculus,Manga,15,119999,8.36
Machida-kun no Sekai,Manga,7,27299,8.36
Song of the Long March,Manhua,NULL,28629,8.36
SQ: Begin W/Your Name!,Manhua,1,59722,8.36
Ballroom e Youkoso,Manga,NULL,37848,8.36
Daichouhen Doraemon,Manga,24,3353,8.36
Hadashi no Gen,Manga,10,10928,8.36
Versailles no Bara,Manga,10,15821,8.35
Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,Manga,5,13950,8.35
Hoshi no Samidare,Manga,10,56606,8.35
Azumanga Daioh,Manga,4,49288,8.35
Konjiki no Gash!!,Manga,33,30212,8.35
Mahoutsukai no Yome,Manga,NULL,88467,8.35
Buddha,Manga,14,14439,8.35
Kanata kara,Manga,14,15054,8.35
Kieta Hatsukoi,Manga,9,13583,8.35
Black Jack,Manga,25,21139,8.35
Durarara!!,Light-Novel,13,26192,8.34
Ten: Tenhou-doori no Kaidanji,Manga,18,5294,8.34
Mairimashita! Iruma-kun,Manga,NULL,52263,8.34
Fate/strange Fake,Light-Novel,NULL,8979,8.34
Fumetsu no Anata e,Manga,NULL,98129,8.34
Gochuumon wa Usagi desu kaNULL,Manga,NULL,6417,8.34
Saikyou Densetsu Kurosawa,Manga,11,23982,8.34
Touch,Manga,26,12460,8.34
Naruto Shinden Series,Light-Novel,3,10836,8.33
Ookami Kodomo no Ame to Yuki,Manga,3,23550,8.33
Piano no Mori,Manga,26,14865,8.33
Seasons of Blossom,Manhwa,NULL,6094,8.33
Gakuen Alice,Manga,31,41318,8.33
Mars,Manga,15,33447,8.33
Gin no Saji,Manga,15,39434,8.33
Lovely★Complex,Manga,17,60861,8.33
Youjo Senki,Manga,NULL,25185,8.33
Koko wa Ima kara Rinri desu.,Manga,NULL,23665,8.32
Bocchi the Rock!,Manga,NULL,13865,8.32
Kininatteru Hito ga Otoko ja Nakatta,Manga,NULL,4419,8.32
Ojisama to Neko,Manga,NULL,19124,8.32
Full Metal Panic! Sigma,Manga,19,11591,8.32
Mushishi Tokubetsu-hen: Hihamukage,Manga,1,5361,8.32
Shin Angyo Onshi,Manga,17,33670,8.32
Totsukuni no Shoujo,Manga,11,69361,8.32
Violet Evergarden Gaiden,Light-Novel,1,2918,8.31
Canis Series,Manga,NULL,9866,8.31
Teito Seihai Kitan: Fate/type Redline,Manga,NULL,11225,8.31
Orange,Manga,7,150463,8.31
Love So Life,Manga,17,58066,8.31
Boy Meets Maria,Manga,1,19381,8.31
Doukyuusei,Manga,1,37054,8.31
Sora wa Akai Kawa no Hotori,Manga,28,22679,8.31
Sakamichi no Apollon: Bonus Track,Manga,1,6150,8.31
Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,Novel,1,34165,8.31
Jigokuraku,Manga,13,139598,8.3
Higurashi no Naku Koro ni Kai: Meakashi-hen,Manga,4,14337,8.3
Angel Densetsu,Manga,15,53838,8.3
Hellsing,Manga,10,90458,8.3
Blame!,Manga,10,141593,8.3
Shousetsu Kimi no Na wa.,Novel,1,5913,8.3
Tsubasa: RESERVoir CHRoNiCLE,Manga,28,77512,8.3
Kodomo no Omocha,Manga,10,21372,8.3
Chichi to Hige-Gorilla to Watashi,Manga,7,7628,8.3
Bleach: Can't Fear Your Own World,Light-Novel,3,6227,8.3
Sword Art Online: Progressive,Light-Novel,NULL,21371,8.3
Komatta Toki ni wa Hoshi ni Kike,Manga,26,7758,8.3
Gakuen Babysitters,Manga,NULL,23540,8.3
Saiki Kusuo no Ψ-nan,Manga,26,30954,8.3
Paradise Kiss,Manga,5,48818,8.3
Detective Conan,Manga,NULL,56869,8.29
Watashi no Oshi wa Akuyaku Reijou.: Revolution,Light-Novel,NULL,2942,8.29
Liar Game,Manga,19,107511,8.29
Tokyo Crazy Paradise,Manga,19,17826,8.29
Higurashi no Naku Koro ni Kai: Minagoroshi-hen,Manga,6,10552,8.29
Takemitsuzamurai,Manga,8,12947,8.29
Claymore,Manga,27,188366,8.29
Boogiepop Series,Light-Novel,NULL,10340,8.29
Dengeki Daisy,Manga,16,115970,8.29
Yomawari Sensei,Manga,9,11715,8.29
After School Lessons for Unripe Apples,Manhwa,NULL,2418,8.29
Hana to Akuma,Manga,10,43568,8.29
Kengan Ashura,Manga,27,53597,8.29
Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,Manga,4,11657,8.29
Hanazakari no Kimitachi e,Manga,23,35259,8.29
Hachimitsu to Clover,Manga,10,22461,8.28
Planetes,Manga,4,50664,8.28
D.Gray-man,Manga,NULL,152548,8.28
Kimi ni Todoke,Manga,30,113550,8.28
Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,Manga,6,12934,8.28
Shouwa Genroku Rakugo Shinjuu,Manga,10,8065,8.28
Annarasumanara,Manhwa,3,65845,8.28
Petshop of Horrors,Manga,10,30540,8.28
Black Lagoon,Manga,NULL,50627,8.28
Saint Seiya: The Lost Canvas - Meiou Shinwa,Manga,25,15023,8.27
Kusuriya no Hitorigoto,Light-Novel,NULL,4395,8.27
Magi,Manga,37,143692,8.27
Tokyo Ghoul:re,Manga,16,270620,8.27
Machikado Mazoku,Manga,NULL,8159,8.27
Saiyuuki Gaiden,Manga,4,10394,8.27
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,Manga,NULL,27876,8.27
Dandadan,Manga,NULL,105300,8.27
NHK ni Youkoso!,Novel,1,3807,8.27
Kage no Jitsuryokusha ni Naritakute!,Manga,NULL,63471,8.27
No.6,Manga,9,46688,8.27
Hidamari ga Kikoeru: Limit,Manga,3,6025,8.26
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Manga,17,194746,8.26
Beastars,Manga,22,104783,8.26
Ansatsu Kyoushitsu,Manga,21,150197,8.26
Taishou Otome Otogibanashi,Manga,5,23114,8.26
Sweet Home,Manhwa,12,69295,8.26
Sunny,Manga,6,18129,8.26
Koimonogatari,Manga,NULL,14191,8.26
Kuragehime,Manga,17,39346,8.26
Private Opinion: Banana Fish Another Story,Manga,1,4014,8.25
Toradora!,Light-Novel,10,26257,8.25
Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,Manga,7,6362,8.25
Kamigami no Itadaki,Manga,5,13054,8.25
"Natsu e no Tunnel, Sayonara no Deguchi",Light-Novel,1,3934,8.25
Eden: It's an Endless World!,Manga,18,55931,8.25
Hai to Gensou no Grimgar,Light-Novel,NULL,20804,8.25
Feng Shen Ji III,Manhua,NULL,10432,8.24
Feng Shen Ji II,Manhua,NULL,13123,8.24
Rokka no Yuusha,Light-Novel,6,13835,8.24
Cat Street,Manga,8,32618,8.24
Akagami no Shirayuki-hime,Manga,NULL,67913,8.24
Sanctuary,Manga,12,31989,8.24
Act-age,Manga,12,47804,8.24
Villains Are Destined to Die,Manhwa,NULL,23443,8.24
Kishuku Gakkou no Juliet,Manga,16,55956,8.24
Yugami-kun ni wa Tomodachi ga Inai,Manga,16,26343,8.23
Danshi Koukousei no Nichijou,Manga,7,23749,8.23
Silver Diamond,Manga,27,8151,8.23
Kimetsu no Yaiba,Manga,23,410253,8.23
Ghost Hunt,Manga,12,15100,8.23
Trigun Maximum,Manga,14,26368,8.23
Kaichou wa Maid-sama!: Marriage,Manga,1,15320,8.23
Tsurezure Children,Manga,12,55912,8.23
GTO: Shonan 14 Days,Manga,9,23160,8.23
Hourou Musuko,Manga,15,28119,8.23
Shonan Junai Gumi!,Manga,31,20373,8.23
Yuru Yuri,Manga,NULL,13981,8.23
Rookies,Manga,24,21093,8.23
Taiyou no Ie,Manga,13,90769,8.23
"Mata, Onaji Yume wo Miteita",Novel,1,2523,8.23
Genshiken,Manga,21,38857,8.23
Hikari to Tomo ni...: Jiheishouji wo Kakaete,Manga,15,5210,8.23
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Light-Novel,NULL,28054,8.23
Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,Manga,NULL,3057,8.23
Solanin,Manga,2,109244,8.23
Dead Dead Demons Dededede Destruction,Manga,12,66206,8.23
Crows,Manga,26,24466,8.23
Saiyuuki Reload,Manga,10,8067,8.22
Initial D,Manga,48,25885,8.22
Shousetsu NieR:Automata,Light-Novel,3,10823,8.22
Daytime Star,Manhwa,NULL,3733,8.22
Diamond no Ace,Manga,47,21994,8.22
Tasogare Otome x Amnesia,Manga,10,45506,8.22
Meteor Methuselah,Manga,11,19268,8.22
Boku ga Otto ni Deau made,Manga,1,5448,8.21
Spirit Fingers,Manhwa,13,6444,8.21
Rojica to Rakkasei,Manga,3,5078,8.21
Touhou Ibara Kasen: Wild and Horned Hermit.,Manga,10,7038,8.21
7 Seeds,Manga,35,21581,8.21
Bungou Stray Dogs Wan!,Manga,NULL,6047,8.21
Shin High School DxD,Light-Novel,NULL,3827,8.21
Hirunaka no Ryuusei,Manga,12,90969,8.21
Steins;Gate: Aishin Meizu no Babel,Manga,4,3834,8.21
Non Non Biyori,Manga,16,11243,8.21
Steins;Gate 0,Manga,6,4431,8.21
Aku no Hana,Manga,11,148343,8.21
Helck,Manga,12,33599,8.2
Tonikaku Kawaii,Manga,NULL,79937,8.2
Mondaiji-tachi ga Isekai kara Kuru Sou desu yoNULL,Light-Novel,12,14684,8.2
Dr. Stone,Manga,26,179815,8.2
Kyoukaisenjou no Horizon,Light-Novel,29,5702,8.2
Summertime Render,Manga,13,42117,8.2
Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,Manga,8,9330,8.2
Bishoujo Senshi Sailor Moon,Manga,18,51762,8.2
Yuu☆Yuu☆Hakusho,Manga,19,65587,8.2
Sengoku Youko,Manga,17,16286,8.19
Majo no Tabitabi,Light-Novel,NULL,9929,8.19
Innocent,Manga,9,51328,8.19
Touhou Suzunaan: Forbidden Scrollery.,Manga,7,6963,8.19
Mahouka Koukou no Rettousei,Light-Novel,32,28923,8.19
Your Throne,Manhwa,NULL,19825,8.19
Touhou Shinigami: Meteor Methuselah Gaiden,Manga,1,5329,8.19
Nukozuke!,Manga,NULL,10425,8.19
H2,Manga,34,10633,8.19
The Greatest Estate Developer,Manhwa,NULL,8700,8.19
High School DxD,Light-Novel,25,32800,8.19
Bungou Stray Dogs: Dead Apple,Manga,NULL,5423,8.19
Historie,Manga,NULL,23006,8.19
Fukigen na Mononokean,Manga,18,12402,8.18
Return of the Blossoming Blade,Manhwa,NULL,11094,8.18
The One,Manhua,18,21424,8.18
Adolf ni Tsugu,Manga,4,21490,8.18
Megumi no Daigo,Manga,20,2459,8.18
Koori no Mamono no Monogatari,Manga,24,4294,8.18
Getter Robo Saga,Manga,9,2164,8.18
Ookiku Furikabutte,Manga,NULL,9487,8.18
Date A Live,Light-Novel,22,17440,8.18
Zankoku na Kami ga Shihai suru,Manga,17,8993,8.18
Bokura no Shokutaku,Manga,1,12055,8.18
No.6 Beyond,Novel,1,4624,8.18
Hidamari ga Kikoeru,Manga,1,30124,8.18
Last Game,Manga,11,97897,8.18
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Manga,17,106896,8.18
Gimai Seikatsu,Light-Novel,NULL,8740,8.18
Ase to Sekken,Manga,11,34679,8.17
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo,Manga,NULL,3214,8.17
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Manga,3,14790,8.17
xxxHOLiC: Rei,Manga,4,12874,8.17
Uzumaki,Manga,3,209248,8.17
Sora no Otoshimono,Manga,20,43011,8.17
Fushigi Neko no Kyuu-chan,Manga,NULL,7234,8.17
Fate/kaleid liner Prisma☆Illya 3rei!!,Manga,NULL,9271,8.17
Yuki no Yousei,Manga,1,1916,8.17
Shingetsutan Tsukihime,Manga,10,39231,8.17
Sasayaku You ni Koi wo Utau,Manga,NULL,26861,8.17
Yakusoku no Neverland,Manga,20,296907,8.17
City Hunter,Manga,35,14690,8.16
Shiawase Kissa 3-choume,Manga,15,18433,8.16
Feng Shen Ji,Manhua,NULL,25924,8.16
Kareshi Kanojo no Jijou,Manga,21,37386,8.16
Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,Light-Novel,1,13658,8.16
Iryuu: Team Medical Dragon,Manga,25,11449,8.16
JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,Manga,7,100065,8.16
Major,Manga,78,6105,8.16
Kimi to Boku.,Manga,17,10907,8.16
Shingeki no Kyojin: Kuinaki Sentaku,Manga,2,50701,8.16
Keishichou Tokuhanka 007,Manga,11,9906,8.16
Fushigi Yuugi: Genbu Kaiden,Manga,12,12349,8.16
Full Metal Panic!,Light-Novel,12,8273,8.16
Otouto no Otto,Manga,4,12132,8.16
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!,Light-Novel,5,7369,8.16
Mahou Shoujo Madoka★Magica: The Different Story,Manga,3,15662,8.16
Hikaru ga Shinda Natsu,Manga,NULL,21165,8.16
Soredemo Machi wa Mawatteiru,Manga,16,8459,8.16
Nogi Wakaba wa Yuusha de Aru,Light-Novel,2,4292,8.16
Maison Ikkoku,Manga,15,16585,8.16
I Shall Master This Family,Manhwa,NULL,7975,8.15
Yofukashi no Uta,Manga,NULL,75542,8.15
"Komi-san wa, Comyushou desu.",Manga,NULL,243085,8.15
Gokushufudou,Manga,NULL,120873,8.15
Sayonara Zetsubou Sensei,Manga,30,29345,8.15
Binbougami ga!,Manga,16,18826,8.15
Emma,Manga,10,27079,8.15
NHK ni Youkoso!,Manga,8,55649,8.15
God Child,Manga,8,18768,8.15
Ao Haru Ride,Light-Novel,6,24872,8.15
One Piece: Episode A,Manga,2,8276,8.14
Ao Haru Ride,Manga,13,180195,8.14
Cardcaptor Sakura: Clear Card-hen,Manga,NULL,15498,8.14
Beelzebub,Manga,28,113472,8.14
Bokura wa Minna Kawai-sou,Manga,11,41354,8.14
Gunnm: Last Order,Manga,19,22788,8.14
Hanma Baki,Manga,37,21827,8.14
Capeta,Manga,32,4314,8.14
Something About Us,Manhwa,5,27005,8.14
Oresama Teacher,Manga,29,37722,8.14
Futatsu no Spica,Manga,16,5922,8.14
Higurashi no Naku Koro ni: Watanagashi-hen,Manga,2,17075,8.14
Mushoku Tensei: Isekai Ittara Honki Dasu,Manga,NULL,101911,8.14
Uma Musume Cinderella Gray,Manga,NULL,1876,8.14
Urasekai Picnic,Novel,NULL,2054,8.14
Akumetsu,Manga,18,63611,8.14
Doukyuusei: Gold Ring & Silver Ring,Manga,1,7358,8.14
Shinai naru Boku e Satsui wo Komete,Manga,11,32393,8.14
Hoshi Mamoru Inu,Manga,1,17278,8.14
King's Maker,Manhwa,3,10561,8.14
Blue Giant Supreme,Manga,11,2657,8.14
Can't See Can't Hear But Love,Manhwa,6,18917,8.13
High Score Girl,Manga,10,17609,8.13
Hikaru ga Chikyuu ni Ita Koro......,Light-Novel,10,5000,8.13
